station_id,name,lat,long,install_date,install_dockcount,modification_date,current_dockcount,decommission_date
EL-05,Eastlake Ave E & E Allison St,47.64909,-122.322983,10/13/2014,18,,18,
FH-01,Frye Art Museum / Terry Ave & Columbia St,47.607281,-122.324783,10/13/2014,16,3/18/2016,0,3/18/2016
FH-04,Seattle University / E Columbia St & 12th Ave,47.609239,-122.316651,10/13/2014,20,,20,
ID-04,6th Ave S & S King St,47.598488,-122.326412,10/13/2014,16,,16,
PS-04,Occidental Park / Occidental Ave S & S Washington St,47.600757,-122.332946,10/13/2014,18,,18,
PS-05,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,47.598994,-122.329684,10/13/2014,18,,18,
SLU-01,REI / Yale Ave N & John St,47.619859,-122.330304,10/13/2014,18,2/24/2015,20,
SLU-02,Dexter Ave N & Aloha St,47.627735,-122.342232,10/13/2014,18,,18,
SLU-04,Republican St & Westlake Ave N,47.623165,-122.338203,10/13/2014,18,,18,
SLU-07,PATH / 9th Ave & Westlake Ave,47.61832,-122.338913,10/13/2014,18,,18,
SLU-15,Westlake Ave & 6th Ave,47.613628,-122.337341,10/13/2014,12,3/13/2015,20,
SLU-16,Pine St & 9th Ave,47.613715,-122.331777,10/13/2014,20,,20,
SLU-17,Lake Union Park / Valley St & Boren Ave N,47.626041,-122.335831,10/13/2014,18,2/23/2015,16,
SLU-18,Dexter Ave & Denny Way,47.618285,-122.342205,10/13/2014,20,11/2/2015,0,7/2/2016
SLU-19,Key Arena / 1st Ave N & Harrison St,47.622277,-122.35523,10/13/2014,12,3/4/2015,16,
SLU-20,Terry Ave & Stewart St,47.61626,-122.333815,6/12/2015,20,,20,
SLU-21,Mercer St & 9th Ave N,47.624769,-122.339408,9/15/2015,20,,20,
UD-01,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,47.666145,-122.301491,10/13/2014,18,,18,
UD-02,NE 42nd St & University Way NE,47.658288,-122.313334,10/13/2014,18,,18,
UD-04,12th Ave & NE Campus Pkwy,47.656395,-122.31562,10/13/2014,16,,16,
UD-07,NE 47th St & 12th Ave NE,47.663143,-122.315086,10/13/2014,16,,16,
UW-01,UW McCarty Hall / Whitman Ct,47.660268,-122.304826,10/13/2014,16,10/29/2015,0,10/29/2015
UW-02,Burke Museum / E Stevens Way NE & Memorial Way NE,47.659756,-122.310402,10/13/2014,12,2/20/2015,14,
UW-04,15th Ave NE & NE 40th St,47.65559,-122.31189,10/13/2014,18,2/20/2015,16,
UW-06,UW Engineering Library / E Stevens Way NE & Jefferson Rd,47.654613,-122.304863,10/13/2014,12,2/20/2015,14,
UW-07,UW Intramural Activities Building,47.653713,-122.302162,10/13/2014,20,2/20/2015,14,
UW-10,UW Magnuson Health Sciences Center Rotunda / Columbia Rd & San Juan Rd,47.650725,-122.311188,10/13/2014,16,,16,
WF-01,Pier 69 / Alaskan Way & Clay St,47.614315,-122.354093,10/13/2014,18,,24,
WF-04,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,47.607702,-122.34165,10/13/2014,18,,18,
CH-16,Broadway and E Denny Way,47.61863956,-122.3207769,3/18/2016,18,,18,
SLU-22,Thomas St & 5th Ave N,47.62087853,-122.3473769,7/3/2016,18,,18,
UW-11,NE Pacific St/UW Medical Center,47.64995155,-122.3062634,10/29/2015,16,,16,
WF-03,Pier 66 / Alaskan Way & Bell St,47.61137028,-122.3487015,8/9/2016,18,,18,
